State/Territory/Federal Entity,Total Doses Delivered,Doses Delivered per 100K,18+ Doses Delivered per 100K,Total Doses Administered by State where Administered,Doses Administered per 100k by State where Administered,18+ Doses Administered by State where Administered,18+ Doses Administered per 100K by State where Administered,People with at least One Dose by State of Residence,Percent of Total Pop with at least One Dose by State of Residence,People 18+ with at least One Dose by State of Residence,Percent of 18+ Pop with at least One Dose by State of Residence,People Fully Vaccinated by State of Residence,Percent of Total Pop Fully Vaccinated by State of Residence,People 18+ Fully Vaccinated by State of Residence,Percent of 18+ Pop Fully Vaccinated by State of Residence,Total Number of Pfizer doses delivered,Total Number of Moderna doses delivered,Total Number of Janssen doses delivered,Total Number of doses from Other manufacturer delivered,Total Number of Janssen doses administered,Total Number of Moderna doses administered,Total Number of Pfizer doses adminstered,Total Number of doses from Other manufacturer administered,People Fully Vaccinated Moderna Resident,People Fully Vaccinated Pfizer Resident,People Fully Vaccinated Janssen Resident,People Fully Vaccinated Other 2-dose manufacturer Resident,People 18+ Fully Vaccinated Moderna Resident,People 18+ Fully Vaccinated Pfizer Resident,People 18+ Fully Vaccinated Janssen Resident,People 18+ Fully Vaccinated Other 2-dose manufacturer Resident,People with 2 Doses by State of Residence,Percent of Total Pop with 1+ Doses by State of Residence,People 18+ with 1+ Doses by State of Residence,Percent of 18+ Pop with 1+ Doses by State of Residence,Percent of Total Pop with 2 Doses by State of Residence,People 18+ with 2 Doses by State of Residence,Percent of 18+ Pop with 2 Doses by State of Residence,People with 1+ Doses by State of Residence,People 65+ with at least One Dose by State of Residence,Percent of 65+ Pop with at least One Dose by State of Residence,People 65+ Fully Vaccinated by State of Residence,Percent of 65+ Pop Fully Vaccinated by State of Residence,People 65+ Fully Vaccinated_Moderna_Resident,People 65+ Fully Vaccinated_Pfizer_Resident,People 65+ Fully Vaccinated_Janssen_Resident,People 65+ Fully Vaccinated_Other 2-dose Manuf_Resident,65+ Doses Administered by State where Administered,Doses Administered per 100k of 65+ pop by State where Administered,Doses Delivered per 100k of 65+ pop,People 12+ with at least One Dose by State of Residence,Percent of 12+ Pop with at least One Dose by State of Residence,People 12+ Fully Vaccinated by State of Residence,Percent of 12+ Pop Fully Vaccinated by State of Residence,People 12+ Fully Vaccinated_Moderna_Resident,People 12+ Fully Vaccinated_Pfizer_Resident,People 12+ Fully Vaccinated_Janssen_Resident,People 12+ Fully Vaccinated_Other 2-dose Manuf_Resident,12+ Doses Administered by State where Administered,Doses Administered per 100k of 12+ pop by State where Administered,Doses Delivered per 100k of 12+ pop,People 5+ with at least One Dose by State of Residence,Percent of 5+ Pop with at least One Dose by State of Residence,People 5+ Fully Vaccinated by State of Residence,Percent of 5+ Pop Fully Vaccinated by State of Residence,People 5+ Fully Vaccinated_Moderna_Resident,People 5+ Fully Vaccinated_Pfizer_Resident,People 5+ Fully Vaccinated_Janssen_Resident,People 5+ Fully Vaccinated_Other 2-dose Manuf_Resident,5+ Doses Administered by State where Administered,Doses Administered per 100k of 5+ pop  by State where Administered,Doses Delivered per 100k of 5+ pop,People who have received a booster dose,Percent of fully vaccinated people with booster doses,People 18+ who have received a booster dose,Percent of fully vaccinated people 18+ with booster doses,People 50+ who have received a booster dose,Percent of fully vaccinated people 50+ with booster doses,People 65+ who have received a booster dose,Percent of fully vaccinated people 65+ with booster doses,People with Moderna booster dose,People with Pfizer booster dose,People with Janssen booster dose,People with booster dose of an Other manufacturer,Total Count People w/Booster Primary Pfizer Minus TX,Total Count People w/Booster Primary Moderna Minus TX,Total Count People w/Booster Primary J&J Minus TX,Total Count People w/Booster Primary Other Minus TX,Total Count People w/Booster Booster Pfizer Minus TX,Total Count People w/Booster Booster Moderna Minus TX,Total Count People w/Booster Booster J&J Minus TX,Total Count People w/Booster Booster Other Minus TX,Count People Primary Pfizer Booster Pfizer,Count People Primary Pfizer Booster Moderna,Count People Primary Pfizer Booster J&J,Count People Primary Pfizer Booster Uknown,Count People Primary Moderna Booster Pfizer,Count People Primary Moderna Booster Moderna,Count People Primary Moderna Booster J&J,Count People Primary Moderna Booster Uknown,Count People Primary J&J Booster Pfizer,Count People Primary J&J Booster Moderna,Count People Primary J&J Booster J&J,Count People Primary J&J Booster Other,Count People Primary Other Booster Pfizer,Count People Primary Other Booster Moderna,Count People Primary Other Booster J&J,Count People Primary Other Booster Other,Percent People Primary Pfizer Booster Pfizer,Percent People Primary Pfizer Booster Moderna,Percent People Primary Pfizer Booster J&J,Percent People Primary Pfizer Booster Other,Percent People Primary Moderna Booster Pfizer,Percent People Primary Moderna Booster Moderna,Percent People Primary Moderna Booster J&J,Percent People Primary Moderna Booster Other,Percent People Primary J&J Booster Pfizer,Percent People Primary J&J Booster Moderna,Percent People Primary J&J Booster J&J,Percent People Primary J&J Booster Other,Percent People Primary Other Booster Pfizer,Percent People Primary Other Booster Moderna,Percent People Primary Other Booster J&J,Percent People Primary Other Booster Uknown
Massachusetts,13537870,196414,244379,11868412,172193,10895876,196687,5976247,86.7,5393856,97.4,4958289,71.9,4565479,82.4,7777310,5188260,572300,0,370149,4618338,6879501,424,1808371,2788298,361462,158,1803054,2402066,360219,140,N/A,86.7,N/A,97.4,67.9,4287386,77.4,5976247,1323531,99.9,1076220,92,486350,517901,71911,58,2889477,247105,1157740,5790515,96.2,4904311,81.5,1808355,2734360,361438,158,11628376,193267,225003,5976131,91.4,4958262,75.9,1808362,2788285,361457,158,11868335,181608,207155,1271876,25.7,1270928,27.8,898953,39,559677,52,591994,666888,12990,4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Northern Mariana Islands,103050,198743,285655,84610,163179,71619,198528,40746,78.6,33077,91.7,36783,70.9,31460,87.2,75830,23920,3300,0,1090,10917,72603,0,4721,31052,1010,0,4720,25730,1010,0,N/A,78.6,N/A,91.7,69.1,30512,84.6,40746,3040,81,2954,78.7,472,2376,106,0,7291,194219,2745070,37988,89.8,35916,84.9,4721,30185,1010,0,80984,191497,243675,40745,84.7,36783,76.5,4721,31052,1010,0,84609,175895,214232,8138,22.1,8131,25.8,4802,37.7,1412,47.8,1144,6911,83,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
New York,36238675,186283,234931,30601761,157307,28418335,184232,15419461,79.3,14149455,91.7,13434407,69.1,12516629,81.1,21399115,13143260,1696300,0,1257354,11261493,18070789,12125,4712957,7549412,1168782,3256,4710640,6635068,1167901,3020,N/A,79.3,N/A,91.7,63.6,11448963,74.2,15419461,3270875,99.2,2872627,87.2,1358153,1332917,180216,1341,7154585,217059,1099430,15130411,90.2,13382186,79.8,4712545,7497787,1168621,3233,30263961,180430,216051,15418288,84.1,13434070,73.3,4712850,7549291,1168686,3243,30600170,166972,197739,2374119,17.7,2372112,19,1747216,28.2,1083084,37.7,1039803,1302215,32042,59,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
New Jersey,17275555,194497,248798,13800980,155378,12696912,182857,7108300,80,6467030,93.1,6081373,68.5,5607701,80.8,10070695,6358260,846600,0,503225,5302644,7994411,700,2190633,3409722,480733,285,2189988,2937038,480408,267,N/A,80,N/A,93.1,63.9,5203034,74.9,7108300,1527529,99.9,1316222,89.2,613235,613217,89677,93,3337830,226212,1170800,6961192,91.4,6038425,79.3,2190589,3366906,480646,284,13611963,178673,226762,7107582,84.9,6081262,72.7,2190600,3409701,480676,285,13800240,164927,206460,1400812,23,1399180,25,1034573,35.9,627775,47.7,627868,743735,29197,12,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Maryland,12348050,204246,262111,9668291,159921,8827146,187373,4691850,77.6,4214144,89.5,4134618,68.4,3778393,80.2,7372230,4409020,566800,0,334356,3575452,5744389,14094,1440657,2381088,309237,3636,1440144,2025835,308961,3453,N/A,77.6,N/A,89.5,64.7,3555024,75.5,4691850,968592,99.9,881426,91.9,420966,405588,53836,1036,2302041,239947,1287070,4564713,88.4,4088036,79.2,1440610,2334641,309153,3632,9493126,183872,239169,4691441,82.5,4134512,72.7,1440625,2381051,309202,3634,9667799,170096,217252,1110146,26.9,1108786,29.3,807509,42.2,496191,56.3,494324,595057,20519,246,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
American Samoa,75120,158508,239732,69985,147673,57026,181988,37061,78.2,29546,94.3,31525,66.5,26119,83.4,53820,20700,600,0,547,18972,50465,1,8564,22405,556,0,8547,17017,555,0,N/A,78.2,N/A,94.3,65.4,25577,81.6,37061,2941,89.7,2682,81.8,1132,1525,25,0,5977,182337,2291640,35692,96.7,31517,85.4,8563,22398,556,0,68610,185849,203483,37060,86,31525,73.1,8564,22405,556,0,69984,162338,174252,1985,6.3,1977,7.6,1145,11.9,454,16.9,613,1372,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Virginia,15834735,185516,237236,13378547,156740,12232338,183265,6509980,76.3,5856333,87.7,5611245,65.7,5138412,77,9439155,5676380,719200,0,454393,4818408,8098298,7448,1911460,3276400,420527,2858,1905858,2811352,418558,2644,N/A,76.3,N/A,87.7,61.9,4813317,72.1,6509980,1382649,99.9,1212713,89.2,566190,575003,70641,879,3241178,238514,1165260,6315586,86.4,5546799,75.9,1911279,3212676,420012,2832,13114032,179473,216707,6508711,81.1,5610826,69.9,1911325,3276208,420437,2856,13376933,166586,197194,1456351,26,1454820,28.3,1064366,41.1,669006,55.2,636582,795601,23942,226,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Washington,14232785,186907,239133,11555301,151746,10673880,179338,5585994,73.4,5071147,85.2,4987301,65.5,4628858,77.8,8301865,5232320,698600,0,442927,4365964,6737705,8705,1797932,2762021,424580,2768,1797170,2404728,424255,2705,N/A,73.4,N/A,85.2,60.9,4277570,71.9,5585994,1190223,98.4,1100385,91,501493,540484,56958,1450,2894165,239242,1176530,5444750,83.8,4964510,76.4,1797875,2739321,424548,2766,11391219,175225,218935,5585408,78,4987192,69.7,1797911,2761958,424556,2767,11554593,161413,198826,1286706,25.8,1285096,27.8,947117,42.3,626673,57,561358,707219,17749,380,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
District of Columbia,1474105,208871,255220,1183076,167634,1126884,195104,583912,82.7,543032,94,460185,65.2,436219,75.5,862985,544820,66300,0,33300,433844,715459,473,163338,259907,36611,329,163269,236059,36583,308,N/A,82.7,N/A,94,61,406372,70.4,583912,92350,99.9,76688,87.8,40936,33004,2674,74,226811,259679,1687720,570122,93.5,456080,74.8,163331,255823,36601,325,1170377,191942,241754,583849,88.4,460169,69.7,163333,259898,36609,329,1182976,179135,223220,83270,18.1,83176,19.1,48278,28.5,30335,39.6,34591,48078,589,12,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
New Hampshire,2700990,198644,244553,2166585,159342,2016217,182553,1213906,89.3,1135657,99.9,885527,65.1,830961,75.2,1548050,995440,157500,0,102844,817641,1246040,60,331233,477180,77041,73,330975,422932,76985,69,N/A,89.3,N/A,99.9,59.7,757301,68.6,1213906,376890,99.9,232214,91.5,96359,119676,16143,36,624880,246148,1063950,1197512,99.9,882417,73.6,331127,474202,77015,73,2147386,179162,225351,1213019,93.6,885313,68.3,331128,477097,77015,73,2165447,167075,208395,54576,6.2,54525,6.6,42583,8.9,27650,11.9,22353,31120,1094,9,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
